source_genesymbol	target_genesymbol	regulation	source
GABPB1	HCFC1	-1	SIGNOR
RAD51	SYCE1_SYCE2_SYCE3_SYCP1_SYCP2_SYCP3_TEX12	1	SIGNOR
FOXO1	TCF4	-1	SIGNOR
FOXO1	STAT3	-1	SIGNOR
POU4F2	ESR1	1	SIGNOR
NFX1	SIN3A	1	SIGNOR
TRIM32	DTNBP1	-1	SIGNOR
KLF10	SIN3A	1	SIGNOR
RLF	RIN1	1	SIGNOR
RLF	RIT1	1	SIGNOR
NFATC2	MEF2A	1	SIGNOR
NFATC2	MEF2D	1	SIGNOR
CUL1	CTNNB1	-1	SIGNOR
CUL1	CDKN1B	-1	SIGNOR
CUL2	APOBEC3A	-1	SIGNOR
CUL3	RHOA	-1	SIGNOR
CUL3	HSF2	-1	SIGNOR
CUL3	KCTD13	1	SIGNOR
CUL3	KCTD10	1	SIGNOR
RUNX3	NOTCH1	-1	SIGNOR
RUNX2	NOTCH1	-1	SIGNOR
KLF9	SIN3A	1	SIGNOR
GTF2H2	ESR1	1	SIGNOR
RUNX2	CREBBP	1	SIGNOR
CBFB	RUNX1	1	SIGNOR
SIM2	ARNT	1	SIGNOR
E2F2	TFDP1	1	SIGNOR
HES1	NR3C1	-1	SIGNOR
HES1	NOTCH1_NOTCH2_RBPJ	-1	SIGNOR
HES1	NOTCH1_NOTCH4_RBPJ	-1	SIGNOR
HES1	NOTCH1_RBPJ	-1	SIGNOR
HES1	NOTCH1_NOTCH3_RBPJ	-1	SIGNOR
HIC1	STAT3	-1	SIGNOR
DMC1	SYCP3	1	SIGNOR
DMC1	SYCE1_SYCE2_SYCE3_SYCP1_SYCP2_SYCP3_TEX12	1	SIGNOR
STAT4	LAMTOR5	1	SIGNOR
E2F5	CREBBP_EP300	1	SIGNOR
NR0B2	CEBPA	-1	SIGNOR
NCOA2	NR3C1	1	SIGNOR
CEBPE	CEBPG	1	SIGNOR
NCOA1	ESR1	1	SIGNOR
NCOA1	STAT5A	1	SIGNOR
SMAD1	RUNX2	1	SIGNOR
EZH2	AR	1	SIGNOR
ZIC1	GLI1	1	SIGNOR
ZIC1	GLI3	1	SIGNOR
AHR	CYP1A1	1	SIGNOR
AHR	CYP1B1	1	SIGNOR
AR	KLK3	1	SIGNOR
NKX3-1	AR	-1	SIGNOR
AR	SERPINB5	-1	SIGNOR
AR	TMPRSS2	1	SIGNOR
AR	UCN	-1	SIGNOR
ARNT	CYP1A1	1	SIGNOR
ASCL1	DKK1	-1	SIGNOR
ATF3	GDF15	1	SIGNOR
KLF6	ATF3	1	SIGNOR
ATF4	DDIT3	1	SIGNOR
ATF4	FGF19	1	SIGNOR
ATF4	PPP1R15A	1	SIGNOR
ATF6	DDIT3	1	SIGNOR
ATF6	HSPA5	1	SIGNOR
BACH1	HMOX1	-1	SIGNOR
CDX2	CDH17	1	SIGNOR
CDX2	LCT	1	SIGNOR
CDX2	MEP1A	1	SIGNOR
CDX2	MUC2	1	SIGNOR
CDX2	TFF3	1	SIGNOR
CDX2	UGT1A10	1	SIGNOR
CDX2	UGT1A8	1	SIGNOR
DDIT3	CEBPA	-1	SIGNOR
NR3C1	CEBPA	1	SIGNOR
CEBPA	S100A9	1	SIGNOR
CEBPA	SFTPD	1	SIGNOR
CEBPA	SOX4	-1	SIGNOR
SOX6	CEBPA	1	SIGNOR
CEBPA	SPI1	1	SIGNOR
