source_genesymbol	target_genesymbol	regulation	source
E2F4	SLC2A13	1	dorothea
E2F4	TK1	1	dorothea
E2F4	TOPBP1	-1	dorothea
E2F4	TTK	-1	dorothea
E2F6	APAF1	-1	dorothea
E2F6	BRCA1	-1	dorothea
E2F6	DEPDC5	-1	dorothea
E2F6	RBBP4	-1	dorothea
E2F6	RBBP8	-1	dorothea
E2F7	E2F1	-1	dorothea
E2F7	SP1	-1	dorothea
E4F1	CCNA2	-1	dorothea
EGR1	ABCB1	1	dorothea
EGR1	ACE	1	dorothea
EGR1	ACHE	1	dorothea
EGR1	ALOX5	1	dorothea
EGR1	APOA1	1	dorothea
EGR1	AR	-1	dorothea
EGR1	ATF3	1	dorothea
EGR1	BCAR1	1	dorothea
EGR1	CAT	1	dorothea
EGR1	CCND1	1	dorothea
EGR1	CD19	1	dorothea
EGR1	CD44	1	dorothea
EGR1	CDK5R1	1	dorothea
EGR1	CDKN1A	1	dorothea
EGR1	CHGA	1	dorothea
EGR1	COL2A1	-1	dorothea
EGR1	CYP2B6	1	dorothea
EGR1	EAPP	1	dorothea
EGR1	EGFR	1	dorothea
EGR1	EP300	1	dorothea
ETS1	EGR1	1	dorothea
EGR1	F3	1	dorothea
EGR1	FAS	-1	dorothea
EGR1	FCER2	-1	dorothea
EGR1	FGF2	1	dorothea
EGR1	FN1	1	dorothea
EGR1	GDF15	1	dorothea
EGR1	HIF1A	1	dorothea
EGR1	HSD11B2	-1	dorothea
EGR1	HYAL1	1	dorothea
EGR1	IGF2	1	dorothea
EGR1	IL2	1	dorothea
EGR1	IL3	1	dorothea
EGR1	IL6	-1	dorothea
EGR1	LDLR	1	dorothea
EGR1	LHB	1	dorothea
EGR1	LMTK2	1	dorothea
EGR1	MMP14	1	dorothea
EGR1	MYB	-1	dorothea
EGR1	NAB2	1	dorothea
EGR1	PCSK2	1	dorothea
EGR1	PDGFB	1	dorothea
EGR1	PDGFC	1	dorothea
EGR1	PLAU	1	dorothea
EGR1	PLAUR	1	dorothea
EGR1	PPARG	-1	dorothea
EGR1	PTEN	1	dorothea
EGR1	PTGES	1	dorothea
EGR1	PTGS2	-1	dorothea
EGR1	PTP4A1	1	dorothea
EGR1	RBL2	1	dorothea
EGR1	RELA	-1	dorothea
EGR1	SLC4A2	1	dorothea
EGR1	SLC9A3	1	dorothea
EGR1	SOD1	1	dorothea
SP1	EGR1	1	dorothea
SRF	EGR1	1	dorothea
EGR1	STIM1	1	dorothea
EGR1	SYN1	1	dorothea
EGR1	TCF4	1	dorothea
EGR1	TMPO	1	dorothea
EGR1	TMPO	1	dorothea
EGR1	TNF	1	dorothea
EGR1	TP53	1	dorothea
EGR1	UBE2S	1	dorothea
EGR1	VEGFA	1	dorothea
EGR1	WNT4	-1	dorothea
EGR2	FASLG	-1	dorothea
EGR3	NAB2	1	dorothea
EHF	SPRR1B	1	dorothea
ELF1	MEIS1	1	dorothea
ELF2	VCP	1	dorothea
ELF3	SPRR2A	1	dorothea
ELK1	FOSL1	1	dorothea
ELK1	PRKCA	1	dorothea
ELK1	PSEN1	1	dorothea
ELK4	FOS	1	dorothea
EN1	UTRN	-1	dorothea
EPAS1	CA9	1	dorothea
EPAS1	FLT1	1	dorothea
EPAS1	SERPINE1	1	dorothea
EPAS1	VEGFA	1	dorothea
ERF	ETS2	-1	dorothea
ERG	CDH5	1	dorothea
ERG	ENG	1	dorothea
ETS1	ERG	1	dorothea
ERG	FGF2	-1	dorothea
ERG	ICAM1	-1	dorothea
ERG	VIM	1	dorothea
ERG	VWF	1	dorothea
ESR1	BCL2	1	dorothea
ESR1	BLM	1	dorothea
ESR1	BTG2	-1	dorothea
ESR1	CCND1	1	dorothea
ESR1	CD24	-1	dorothea
ESR1	CDKN1A	1	dorothea
ESR1	CDKN1B	-1	dorothea
ESR1	CRH	-1	dorothea
ESR1	CRHBP	1	dorothea
ESR1	CTNNB1	-1	dorothea
ESR1	CYP19A1	1	dorothea
ESR1	CYP1A1	-1	dorothea
ESR1	CYP2C19	-1	dorothea
ESR1	EGF	1	dorothea
ESR1	F12	1	dorothea
ESR1	FOXP1	1	dorothea
ESR1	GREB1	1	dorothea
ESR1	HSPB1	1	dorothea
ESR1	JUN	1	dorothea
ESR1	JUNB	1	dorothea
ESR1	KDR	1	dorothea
ESR1	KRT19	1	dorothea
ESR1	MACROD1	1	dorothea
ESR1	NQO1	-1	dorothea
ESR1	NRF1	1	dorothea
ESR1	OXT	-1	dorothea
ESR1	PGR	1	dorothea
ESR1	PLAC1	1	dorothea
ESR1	PMAIP1	1	dorothea
ESR1	PPARG	-1	dorothea
ESR1	PTMA	-1	dorothea
ESR1	RARA	1	dorothea
RUNX2	ESR1	-1	dorothea
ESR1	SERPINE1	1	dorothea
ESR1	TAC3	1	dorothea
ESR1	TERT	1	dorothea
ESR1	TFF1	1	dorothea
ESR1	TGFA	1	dorothea
ESR1	UGT2B15	1	dorothea
ESR1	VEGFA	1	dorothea
ESR1	ZFHX3	1	dorothea
ESR2	SERPINE1	-1	dorothea
ESR2	TFF1	1	dorothea
ESR2	TGFA	1	dorothea
ESRRA	CYP19A1	1	dorothea
ESRRA	NR2F6	-1	dorothea
ETS1	ABCB1	1	dorothea
ETS1	ANGPT2	1	dorothea
ETS1	ANPEP	1	dorothea
ETS1	ATP2A3	1	dorothea
ETS1	BAX	-1	dorothea
ETS1	BMP4	1	dorothea
ETS1	CASP8	1	dorothea
ETS1	CCND1	1	dorothea
ETS1	CD3D	1	dorothea
ETS1	CD8A	1	dorothea
ETS1	CDK11A	1	dorothea
ETS1	CHUK	1	dorothea
ETS1	CIP2A	1	dorothea
ETS1	CSF2	1	dorothea
ETS1	CSF3R	1	dorothea
ETS1	CSNK2A1	1	dorothea
ETS1	ECE1	1	dorothea
ETV4	ETS1	1	dorothea
ETS1	FAS	1	dorothea
ETS1	FLI1	1	dorothea
ETS1	FLT1	1	dorothea
ETS1	FOS	1	dorothea
ETS1	FOXD1	1	dorothea
ETS1	GP5	1	dorothea
ETS1	GP6	1	dorothea
ETS1	GP9	1	dorothea
ETS1	GRPR	1	dorothea
ETS1	IL2	-1	dorothea
ETS1	IL2RB	1	dorothea
ETS1	IL3	1	dorothea
ETS1	IL5	1	dorothea
JUN	ETS1	1	dorothea
ETS1	LCK	1	dorothea
ETS1	MCL1	1	dorothea
ETS1	MDM2	-1	dorothea
ETS1	MET	1	dorothea
ETS1	MGAT5	1	dorothea
ETS1	MMP1	1	dorothea
ETS1	MMP13	1	dorothea
ETS1	MMP9	1	dorothea
ETS1	MPL	1	dorothea
ETS1	MYB	1	dorothea
ETS1	NDRG1	-1	dorothea
NR3C1	ETS1	-1	dorothea
ETS1	PARP1	1	dorothea
ETS1	PF4	1	dorothea
ETS1	PRL	1	dorothea
ETS1	PSEN1	1	dorothea
ETS1	PTHLH	1	dorothea
ETS1	RAD51	1	dorothea
ETS1	RUNX1	1	dorothea
ETS1	SLC26A3	1	dorothea
SP100	ETS1	-1	dorothea
ETS1	TBXA2R	1	dorothea
ETS1	TBXAS1	-1	dorothea
ETS1	TERT	-1	dorothea
ETS1	TFAP2A	1	dorothea
ETS1	TGFBR2	1	dorothea
ETS1	TIMP1	-1	dorothea
ETS1	TNC	1	dorothea
ETS1	TNFSF14	1	dorothea
ETS1	TRA	1	dorothea
ETS1	TRA	1	dorothea
ETS1	TRB	-1	dorothea
ETS1	TRB	-1	dorothea
ETS1	VWF	1	dorothea
ETS1	WT1	1	dorothea
ETS1	ZNF175	1	dorothea
ETS2	ANGPT2	1	dorothea
ETS2	ANPEP	1	dorothea
ETS2	CGA	1	dorothea
ETS2	CHRNE	1	dorothea
ETS2	CSF2	1	dorothea
ETS2	CSF3R	1	dorothea
ETS2	ERG	1	dorothea
ETS2	FLI1	1	dorothea
ETS2	ICAM1	1	dorothea
ETS2	IL5	1	dorothea
ETS2	MDM2	1	dorothea
ETS2	MMP9	1	dorothea
ETS2	MSR1	1	dorothea
ETS2	PSEN1	1	dorothea
ETS2	PTHLH	1	dorothea
ETV3	NFKB1	-1	dorothea
ETV4	AGTR1	1	dorothea
ETV4	ERBB2	-1	dorothea
ETV4	MMP7	1	dorothea
ETV4	MUC4	1	dorothea
ETV4	PTGS2	1	dorothea
ETV4	VIM	1	dorothea
FLI1	ERG	1	dorothea
FLI1	EYA3	1	dorothea
FLI1	GATA1	1	dorothea
FLI1	GP6	1	dorothea
FLI1	GP9	1	dorothea
FLI1	ID2	1	dorothea
FLI1	IGFBP3	-1	dorothea
FLI1	MPL	1	dorothea
FLI1	TERT	1	dorothea
FLI1	TGFBR2	1	dorothea
FOS	ACTA1	1	dorothea
FOS	CCND1	-1	dorothea
FOS	CLU	-1	dorothea
FOS	PTGS2	1	dorothea
FOS	CYP19A1	1	dorothea
FOS	DDIT3	1	dorothea
FOS	DDIT3	1	dorothea
FOS	ERCC4	1	dorothea
FOS	EZR	1	dorothea
FOS	FAS	1	dorothea
FOS	HSPH1	1	dorothea
MITF	FOS	1	dorothea
FOS	MMP1	1	dorothea
FOS	MMP9	1	dorothea
FOS	MYC	-1	dorothea
FOS	NEFL	1	dorothea
FOS	NFKB1	-1	dorothea
